N,time[ms]
10,0.04700
11,0.00300
12,0.00300
13,0.00300
14,0.00300
15,0.00300
16,0.00300
17,0.00300
18,0.00300
19,0.00300
20,0.00200
21,0.00300
22,0.00300
23,0.00300
24,0.00300
25,0.00300
26,0.00300
27,0.00300
28,0.00300
29,0.00300
30,0.00300
31,0.00300
32,0.00300
33,0.00300
34,0.00300
35,0.00300
36,0.00300
37,0.00300
38,0.00400
39,0.00400
40,0.00300
41,0.00300
42,0.00300
43,0.00300
44,0.00300
45,0.00400
46,0.00400
47,0.00400
48,0.00400
49,0.00300
50,0.00400
51,0.00400
52,0.00300
53,0.00400
54,0.00400
55,0.00400
56,0.00400
57,0.00300
58,0.00300
59,0.00400
60,0.00400
61,0.00400
62,0.00400
63,0.00400
64,0.00400
65,0.00400
66,0.00400
67,0.00400
68,0.00400
69,0.00400
70,0.00900
71,0.00400
72,0.00500
73,0.00400
74,0.00400
75,0.00400
76,0.00400
77,0.00400
78,0.00500
79,0.00500
80,0.00400
81,0.00500
82,0.00500
83,0.00500
84,0.00400
85,0.00500
86,0.00500
87,0.00500
88,0.00500
89,0.00500
90,0.00500
91,0.00500
92,0.00500
93,0.00500
94,0.00500
95,0.00500
96,0.00500
97,0.00500
98,0.00500
99,0.00500
100,0.00500
101,0.00500
102,0.00500
103,0.00500
104,0.00600
105,0.00500
106,0.00500
107,0.00600
108,0.00500
109,0.00500
110,0.00500
111,0.00600
112,0.00500
113,0.00500
114,0.00600
115,0.00600
116,0.00600
117,0.00600
118,0.00500
119,0.00500
120,0.00500
121,0.00500
122,0.00500
123,0.00600
124,0.00600
125,0.00600
126,0.00600
127,0.00600
128,0.00500
129,0.00600
130,0.00600
131,0.00500
132,0.00600
133,0.00600
134,0.00600
135,0.00600
136,0.00600
137,0.00600
138,0.00600
139,0.00600
140,0.00600
141,0.00600
142,0.00600
143,0.00700
144,0.00600
145,0.00600
146,0.00600
147,0.00600
148,0.00600
149,0.00700
150,0.00600
151,0.00600
152,0.00700
153,0.00700
154,0.00600
155,0.00600
156,0.00600
157,0.00700
158,0.00700
159,0.00900
160,0.00700
161,0.00700
162,0.00600
163,0.00700
164,0.00600
165,0.00700
166,0.00600
167,0.00700
168,0.00600
169,0.00700
170,0.00700
171,0.00700
172,0.00700
173,0.00700
174,0.00600
175,0.00700
176,0.00700
177,0.00700
178,0.00700
179,0.00700
180,0.00800
181,0.00700
182,0.00700
183,0.00700
184,0.00800
185,0.00800
186,0.00700
187,0.00700
188,0.00800
189,0.00800
190,0.00700
191,0.00700
192,0.00800
193,0.00800
194,0.00700
195,0.00800
196,0.00800
197,0.00700
198,0.00800
199,0.00700
200,0.00700
201,0.00800
202,0.00800
203,0.00800
204,0.00800
205,0.00800
206,0.00800
207,0.00700
208,0.00800
209,0.00800
210,0.00800
211,0.00800
212,0.00800
213,0.00800
214,0.00800
215,0.00800
216,0.00800
217,0.00800
218,0.00900
219,0.00800
220,0.00800
221,0.00900
222,0.00800
223,0.00800
224,0.00800
225,0.00800
226,0.00900
227,0.00800
228,0.00800
229,0.00900
230,0.00800
231,0.00800
232,0.00900
233,0.00900
234,0.00900
235,0.00900
236,0.01200
237,0.00900
238,0.00900
239,0.00800
240,0.00800
241,0.00800
242,0.00800
243,0.00800
244,0.00900
245,0.01200
246,0.00900
247,0.00800
248,0.00900
249,0.00800
250,0.00900
251,0.00800
252,0.00900
253,0.00900
254,0.00900
255,0.00800
256,0.00900
257,0.00800
258,0.00900
259,0.00900
260,0.00800
261,0.00800
262,0.00900
263,0.00800
264,0.00800
265,0.00800
266,0.00800
267,0.00800
268,0.00900
269,0.00800
270,0.00900
271,0.00800
272,0.00900
273,0.00900
274,0.00900
275,0.00800
276,0.01000
277,0.00900
278,0.00900
279,0.00800
280,0.01000
281,0.00800
282,0.00900
283,0.00800
284,0.00900
285,0.00800
286,0.00900
287,0.00900
288,0.01000
289,0.00900
290,0.00800
291,0.00900
292,0.00900
293,0.00800
294,0.00900
295,0.00800
296,0.00900
297,0.00800
298,0.01000
299,0.00800
300,0.01000
301,0.00900
302,0.01000
303,0.00800
304,0.00900
305,0.00900
306,0.00900
307,0.00900
308,0.01000
309,0.01000
310,0.00900
311,0.00900
312,0.00900
313,0.01000
314,0.00900
315,0.00900
316,0.00900
317,0.00900
318,0.01000
319,0.00900
320,0.00900
321,0.01000
322,0.00900
323,0.00900
324,0.00900
325,0.01000
326,0.00900
327,0.01000
328,0.01000
329,0.01000
330,0.01600
331,0.00900
332,0.01000
333,0.01000
334,0.01000
335,0.00900
336,0.01000
337,0.00900
338,0.01000
339,0.01000
340,0.01000
341,0.00900
342,0.01100
343,0.01000
344,0.00900
345,0.00900
346,0.01000
347,0.00900
348,0.01000
349,0.01100
350,0.01100
351,0.02000
352,0.01900
353,0.00900
354,0.01900
355,0.01900
356,0.01000
357,0.00900
358,0.01100
359,0.01000
360,0.01000
361,0.01000
362,0.01000
363,0.01000
364,0.01000
365,0.01000
366,0.01000
367,0.01000
368,0.01000
369,0.01000
370,0.01000
371,0.01000
372,0.01000
373,0.01000
374,0.01100
375,0.01000
376,0.01100
377,0.01000
378,0.01000
379,0.01000
380,0.01100
381,0.01000
382,0.01100
383,0.01100
384,0.01100
385,0.01200
386,0.01100
387,0.01100
388,0.01100
389,0.01100
390,0.01100
391,0.01100
392,0.01100
393,0.01100
394,0.01100
395,0.01100
396,0.01100
397,0.01100
398,0.01100
399,0.01100
400,0.01100
401,0.01100
402,0.01100
403,0.01100
404,0.01100
405,0.01100
406,0.01100
407,0.01100
408,0.01200
409,0.01100
410,0.01100
411,0.01100
412,0.01100
413,0.01100
414,0.01100
415,0.01400
416,0.01200
417,0.01200
418,0.01200
419,0.01100
420,0.01100
421,0.01100
422,0.01200
423,0.01200
424,0.01100
425,0.01200
426,0.01200
427,0.01200
428,0.01200
429,0.01200
430,0.01200
431,0.01200
432,0.01200
433,0.01200
434,0.01200
435,0.01200
436,0.01200
437,0.01200
438,0.01200
439,0.01200
440,0.01200
441,0.01200
442,0.01200
443,0.01200
444,0.01200
445,0.01200
446,0.01200
447,0.01200
448,0.01300
449,0.01200
450,0.01200
451,0.01200
452,0.01200
453,0.01200
454,0.01200
455,0.01200
456,0.01200
457,0.01200
458,0.01200
459,0.01200
460,0.01300
461,0.01300
462,0.01300
463,0.01300
464,0.01200
465,0.01200
466,0.01300
467,0.01300
468,0.01200
469,0.01300
470,0.01300
471,0.01300
472,0.01300
473,0.01300
474,0.01300
475,0.01300
476,0.01300
477,0.01200
478,0.01300
479,0.01300
480,0.01300
481,0.01300
482,0.01300
483,0.01300
484,0.01300
485,0.01300
486,0.01300
487,0.01300
488,0.01300
489,0.01300
490,0.01300
491,0.01300
492,0.01300
493,0.01400
494,0.01400
495,0.01400
496,0.01300
497,0.01300
498,0.01400
499,0.01300
500,0.01300
501,0.01800
502,0.01400
503,0.01300
504,0.01400
505,0.01400
506,0.01400
507,0.01300
508,0.01300
509,0.01400
510,0.01300
511,0.01400
512,0.01400
513,0.01400
514,0.01400
515,0.01300
516,0.01300
517,0.01300
518,0.01300
519,0.01300
520,0.01300
521,0.01400
522,0.01300
523,0.01300
524,0.01300
525,0.01300
526,0.01400
527,0.01400
528,0.01400
529,0.01400
530,0.01300
531,0.01400
532,0.01400
533,0.01400
534,0.01300
535,0.01400
536,0.01400
537,0.01400
538,0.01400
539,0.01300
540,0.01400
541,0.01400
542,0.01400
543,0.01400
544,0.01400
545,0.01400
546,0.01400
547,0.01400
548,0.01400
549,0.01400
550,0.01400
551,0.01400
552,0.01400
553,0.01400
554,0.01400
555,0.01400
556,0.01500
